SCAFFOLD,N_DRUGS,N_SYNERGISTIC,N_NON_SYN,ODDS_RATIO,PVAL,FDR_BH,SIGNIFICANT
c1ccc2ccccc2c1,6,1,5,1.3225,0.570905,1.0,False
c1nc(Sc2cnc[nH]2)c2nc[nH]c2n1,1,0,1,0.0,1.0,1.0,False
O=c1nc2[nH]c3ccccc3nc-2c(=O)[nH]1,1,0,1,0.0,1.0,1.0,False
O=C1C=C2CC[C@@H]3[C@H](CCC4[C@H]3CC[C@@]43CCC(=O)O,1,0,1,0.0,1.0,1.0,False
O=C(CC1=CCC=CC1)N[C@@H]1C(=O)N2C=CCS[C@H]12,1,0,1,0.0,1.0,1.0,False
C1CCNC1,1,0,1,0.0,1.0,1.0,False
C1CC[C@@H]2NCC[C@@H]2C1,1,0,1,0.0,1.0,1.0,False
O=C(N[C@@H](CCN1[C@@H]2CC[C@H]1C[C@@H](n1cnnc1)C2),1,0,1,0.0,1.0,1.0,False
O=C1Nc2ccccc2C(C#CC2CC2)O1,1,0,1,0.0,1.0,1.0,False
C1=Nc2c(ncn2[C@H]2CCCO2)CCN1,1,0,1,0.0,1.0,1.0,False
O=S(=O)(Nc1ccccc1)c1ccccc1,1,0,1,0.0,1.0,1.0,False
C1=C[C@H](N[C@H]2CC[C@@H](O[C@H]3CC[C@@H](O[C@H]4C,1,0,1,0.0,1.0,1.0,False
O=C(Cc1ccccc1)O[C@H]1C[C@H]2CC[C@@H](C1)N2,1,0,1,0.0,1.0,1.0,False
C1C[C@@H]2CC[C@H](C1)[NH2+]2,1,0,1,0.0,1.0,1.0,False
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1cccs,1,0,1,0.0,1.0,1.0,False
O=C(Nc1nccs1)c1ccccc1,1,0,1,0.0,1.0,1.0,False
O=c1[nH]ncn1-c1ccc(N2CCN(c3ccc(OC[C@@H]4CO[C@@](Cn,1,0,1,0.0,1.0,1.0,False
C1=C2CCCCC2[C@H]2CCC3C(c4cccnc4)=CC[C@H]3[C@@H]2C1,1,0,1,0.0,1.0,1.0,False
c1ccc(Cc2cccc([C@H]3CCCCO3)c2)cc1,1,0,1,0.0,1.0,1.0,False
O=C1C=CCO1,1,0,1,0.0,1.0,1.0,False
O=C(N[C@@H]1C(=O)N2CCS[C@H]12)c1cccc2ccccc12,1,0,1,0.0,1.0,1.0,False
O=C1C=C2CC[C@@H]3C(=C2CC1)[C@@H](c1ccccc1)CC1CCC[C,1,0,1,0.0,1.0,1.0,False
O=c1cc[nH]c2ccc(Cc3ccccc3)cc12,1,0,1,0.0,1.0,1.0,False
O=C1N=CNC1(c1ccccc1)c1ccccc1,1,0,1,0.0,1.0,1.0,False
O=C(NCc1ccccc1)c1cc(=O)[nH]c(CNC(=O)c2nnco2)n1,1,0,1,0.0,1.0,1.0,False
O=C(CCc1c[nH]c2ccccc12)NCC(=O)NCC(=O)N[C@H]1COC(=O,1,0,1,0.0,1.0,1.0,False
O=S1(=O)CCCc2ccsc21,2,0,2,0.0,1.0,1.0,False
O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)N2CC=CC2=O)c,1,0,1,0.0,1.0,1.0,False
C1OC2OC[C@H]3OCO[C@H]3[C@@H]2O1,1,0,1,0.0,1.0,1.0,False
O=c1[nH]nc(CN2CCO[C@H](OCc3ccccc3)[C@@H]2c2ccccc2),1,0,1,0.0,1.0,1.0,False
c1ccc(Cn2c3c(c4ccccc42)CCC3)cc1,1,0,1,0.0,1.0,1.0,False
O=c1nc[nH]c2ccc(CNc3cccs3)cc12,1,0,1,0.0,1.0,1.0,False
O=C1/C=C\C=C\CCCCCCCC/C=C/OC2Oc3ccc4c(c3C2=O)C2=NC,1,0,1,0.0,1.0,1.0,False
C1=COCCC1,1,0,1,0.0,1.0,1.0,False
O=c1oc2ccccc2cc1Cc1ccccc1,2,0,2,0.0,1.0,1.0,False
O=C(CCC=CCc1ccc2c(c1)C(=O)OC2)OCCN1CCOCC1,1,0,1,0.0,1.0,1.0,False
O=c1cc[nH]c(=O)[nH]1,1,0,1,0.0,1.0,1.0,False
O=C(Cc1ccccc1)O[C@H]1C[C@@H]2[NH2+][C@H](C1)[C@H]1,2,0,2,0.0,1.0,1.0,False
O=c1cc(-c2ccccc2)oc2cc(O[C@H]3CCC[C@@H](CO[C@H]4CC,1,0,1,0.0,1.0,1.0,False
O=C(NCC1CCCN1)c1ccccc1,1,0,1,0.0,1.0,1.0,False
O=C(Nc1ccccc1)c1c[nH]c(-c2ccccc2)c1-c1ccccc1.O=C(N,1,0,1,0.0,1.0,1.0,False
O=C1CC[C@@H]2C1CC[C@@H]1c3ccccc3CC[C@H]12,1,0,1,0.0,1.0,1.0,False
c1ccc([C@H]2CN3CCSC3=N2)cc1,1,0,1,0.0,1.0,1.0,False
O=C1C=C([C@H]2CC[C@H](c3ccccc3)CC2)C(=O)c2ccccc21,1,0,1,0.0,1.0,1.0,False
C1CC[C@H]2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2C1,1,0,1,0.0,1.0,1.0,False
O=c1cccc(C2CCCCC2)[nH]1,1,0,1,0.0,1.0,1.0,False
c1ccc(C2CCC2)cc1,2,0,2,0.0,1.0,1.0,False
O=C1C2=CC3C(=O)C=CC[C@@H]3C[C@@H]2Cc2ccccc21,5,0,5,0.0,1.0,1.0,False
O=c1nc(-c2cccc(S(=O)(=O)N3CCNCC3)c2)[nH]n2cncc12,1,0,1,0.0,1.0,1.0,False
O=c1cc[nH]c(=S)[nH]1,1,0,1,0.0,1.0,1.0,False
O=C1/C=C\C=C\CCCCCCCC/C=C/OC2Oc3ccc4cc(c(/C=N/N5CC,1,0,1,0.0,1.0,1.0,False
C=C1c2ccccc2C(=O)C2=CC3C(=O)C=CC[C@@H]3C[C@H]12,1,0,1,0.0,1.0,1.0,False
O=C1N(Cc2ccc(-c3ccccc3-c3nnn[nH]3)cc2)C=NC12CCCC2,1,0,1,0.0,1.0,1.0,False
C1=CC(c2ccccc2)C=CN1,3,0,3,0.0,1.0,1.0,False
O=C1C=C2C(CC1)[C@H]1CCC3[C@@H]([C@@H]4C[C@@H]4[C@@,1,0,1,0.0,1.0,1.0,False
O=S(=O)(Cc1ccc2[nH]ccc2c1)N1CCCC1,2,0,2,0.0,1.0,1.0,False
O=c1cc(N2CCCCC2)n(Cc2ccccc2)c(=O)[nH]1,1,0,1,0.0,1.0,1.0,False
O=C(NC[C@@H]1CCCCO1)[C@@H]1CCCN1,4,0,4,0.0,1.0,1.0,False
O=C1C=CC(=O)C=C1,1,0,1,0.0,1.0,1.0,False
O=c1[nH]cnc2[nH]cnc12,2,0,2,0.0,1.0,1.0,False
O=C(O[C@H]1c2nccnc2C(=O)N1c1ccccn1)N1CCNCC1,1,0,1,0.0,1.0,1.0,False
O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2,1,0,1,0.0,1.0,1.0,False
c1ccc(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,2,0,2,0.0,1.0,1.0,False
c1ccc(-c2ccc(Cc3cccc([C@H]4CCCCO4)c3)s2)cc1,1,0,1,0.0,1.0,1.0,False
O=S(=O)(Nc1cccc(-c2ncsc2-c2ccncn2)c1)c1ccccc1,1,0,1,0.0,1.0,1.0,False
O=C(OCc1coc(=O)o1)c1cccc2ncn(Cc3ccc(-c4ccccc4-c4no,1,0,1,0.0,1.0,1.0,False
c1cc(-c2cnc([C@@H]3CCCN3)[nH]2)ccc1-c1ccc(-c2cnc([,1,0,1,0.0,1.0,1.0,False
O=C(Nc1ccccc1)c1c[nH]c2ccccc2c1=O,1,0,1,0.0,1.0,1.0,False
O=C(NCc1ncccn1)c1cnc(N2CCCC2)nc1NCc1ccccc1,1,0,1,0.0,1.0,1.0,False
O=C(O[C@H]1C[C@@H]2[NH2+][C@H](C1)[C@H]1O[C@H]12)C,1,0,1,0.0,1.0,1.0,False
O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(c1cccc,1,0,1,0.0,1.0,1.0,False
O=C(Nc1ccccc1)Nc1cc(Nc2ccc(N3CCNCC3)cc2)ncn1,1,0,1,0.0,1.0,1.0,False
c1ccc(Nc2ccc3[nH]cnc3c2)cc1,1,0,1,0.0,1.0,1.0,False
O=c1[nH]c(=O)c2[nH]cnc2[nH]1.O=c1[nH]c(=O)c2[nH]cn,1,0,1,0.0,1.0,1.0,False
O=C(Nc1ccc(Oc2ccnc3ccccc23)cc1)NC1CC1,1,0,1,0.0,1.0,1.0,False
O=C(Nc1ccc(Oc2ccnc3ccccc23)cc1)Nc1ccon1,1,0,1,0.0,1.0,1.0,False
O=c1ccn([C@H]2CC[C@@H](CO[PH](=O)Oc3ccccc3)O2)c(=O,1,0,1,0.0,1.0,1.0,False
O=c1ccccn1-c1ccccc1,1,0,1,0.0,1.0,1.0,False
O=C1OCC/C=C/C=C/[C@H](O[C@H]2CCCCO2)C/C=C/CC/C=C/C,1,0,1,0.0,1.0,1.0,False
c1ccc(-c2cc(C3CC3)nc3ccccc23)cc1.c1ccc(-c2cc(C3CC3,1,0,1,0.0,1.0,1.0,False
O=C(NCc1ccccc1)c1cn2c(cc1=O)C(=O)N1CCCO[C@H]1C2,1,0,1,0.0,1.0,1.0,False
O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C3N=CO[C@@H]3C[,1,0,1,0.0,1.0,1.0,False
O=C1C=C2CC[C@@H]3C(=C2CC1)CCC1CCC[C@H]13,1,0,1,0.0,1.0,1.0,False
O=C(C1CC1)C(c1ccccc1)N1CCc2sccc2C1,1,0,1,0.0,1.0,1.0,False
c1ccc(Cn2ccnn2)cc1,1,0,1,0.0,1.0,1.0,False
C1N2CN3CN1CN(C2)C3,1,0,1,0.0,1.0,1.0,False
c1[nH]nc2c1CC1[C@@H](CC[C@H]3[C@@H]4CCCC4CC[C@H]13,1,0,1,0.0,1.0,1.0,False
C=C(c1ccccc1)c1ccccc1,1,0,1,0.0,1.0,1.0,False
O=C(Cc1cscn1)Nc1ccc(CCNCCc2ccccc2)cc1,1,0,1,0.0,1.0,1.0,False
O=C1COc2ccc(Nc3ccnc(Nc4ccccc4)n3)nc2N1,1,0,1,0.0,1.0,1.0,False
c1ccc(C2CC2)cc1.c1ccc(C2CC2)cc1,1,0,1,0.0,1.0,1.0,False
O=C(CNC(=O)c1ccccc1)NCB1OCC(=O)O1,1,0,1,0.0,1.0,1.0,False
O=c1ccc(-c2ccccc2)nn1Cc1cccc(-c2ncc(OCC3CCNCC3)cn2,1,0,1,0.0,1.0,1.0,False
c1ccc(-c2cc(OCc3ccccc3-n3cccn3)ncn2)cc1.c1ccccc1,1,0,1,0.0,1.0,1.0,False
O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C,1,0,1,0.0,1.0,1.0,False
O=C(NC1=Nc2cc(OCCCN3CCOCC3)ccc2C2=NCCN12)c1cncnc1,1,0,1,0.0,1.0,1.0,False
c1ccc(-c2cnc3ncc(Cc4ccc5ncccc5c4)n3n2)cc1,1,0,1,0.0,1.0,1.0,False
C1CCC(O[C@@H]2OCC[C@H]2O[C@H]2CCCCO2)CC1.C1CCC(O[C,1,0,1,0.0,1.0,1.0,False
O=C1N(c2cccnc2)C(=S)N(c2ccccc2)C12CCC2,1,0,1,0.0,1.0,1.0,False
