molecule_chembl_id,pref_name,canonical_smiles,molecular_weight,alogp,hbd,hba,psa,num_rings,synonyms
CHEMBL1322884,PHENOTHRIN,CC(C)=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C,350.46,5.76,0.0,3.0,35.53,6.0,D-phenotrhin|Fenotrina|Full marks|Hegor antipoux|NSC-758668|Phenothrin|Phenothrin|Phenothrin|Phenothrine|S-2539F|Sumithrin
CHEMBL1330792,ACETARSONE,CC(=O)Nc1cc([As](=O)(O)O)ccc1O,275.09,,,,,,Acetarsol|Acetarsol|Acetarsol|Acetarsone|Gynoplix|NSC-13160|S.v.c.
CHEMBL1334033,PERHEXILINE MALEATE,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1.O=C(O)/C=C\C(=O)O,393.57,5.30,1.0,1.0,12.03,4.0,NSC-758409|Perhexiline maleate|Perhexiline maleate|Perhexiline maleate|Perhexilinum|Pexid|Pexsig
CHEMBL1354199,METHSCOPOLAMINE BROMIDE,C[N+]1(C)[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12.[Br-],398.30,1.06,1.0,4.0,59.06,4.0,Holopon|Hyoscine methobromide|Methscopolamine bromide|Methscopolamine bromide|Methscopolamine bromide|Methscopolamine bromide|N-methylscopolamine bromide|NSC-120606|Pamine|Pamine forte|(-)-scopolamine methyl bromide|Scopolamine methyl bromide
CHEMBL1355736,THEOPHYLLINE,Cn1c(=O)c2nc[nH]c2n(C)c1=O.O,198.18,-1.04,1.0,5.0,72.68,0.0,Accurbron|Aerolate|Aerolate iii|Aerolate jr|Aerolate sr|Aquaphyllin|Bronkodyl|Duraphyl|Elixicon|Elixomin|Elixophyllin|Elixophyllin sr|Labid|Lanophyllin|Lasma|NSC-757346|Nuelin|Nuelin sa|Nuelin sa-250|Pro-vent|Quibron-t|Quibron-t/sr|Slo-bid|Slo-phyllin|Somophyllin-crt|Somophyllin-t|Sustaire|Theo-24|Theobid|Theobid jr.|Theochron|Theocin|Theoclear-100|Theoclear-200|Theoclear-80|Theoclear l.a.-130|Theoclear l.a.-260|Theo-dur|Theograd|Theolair|Theolair-sr|Theolixir|Theophyl|Theophyl-225|Theophylline|Theophylline|Theophylline|Theophylline|Theophylline|Theophylline|Theophylline 0.04% and dextrose 5% in plastic container|Theophylline 0.08% and dextrose 5% in plastic container|Theophylline 0.16% and dextrose 5% in plastic container|Theophylline 0.2% and dextrose 5% in plastic container|Theophylline 0.32% and dextrose 5% in plastic container|Theophylline 0.4% and dextrose 5% in plastic container|Theophylline and dextrose 5% in plastic container|Theophylline component of dicurin procaine|Theophylline component of mersalyl-|Theophylline in dextrose 5% in plastic container|Theophylline monohydrate|Theophylline-sr|Theophyl-sr|Theovent|T-phyl|Uni-dur|Uniphyl|Uniphyllin continus
CHEMBL1356238,PYRITHIONE,[O-][n+]1ccccc1S,127.17,0.61,1.0,2.0,26.94,0.0,
CHEMBL1357648,AMODIAQUINE HYDROCHLORIDE,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl.Cl.O.O,464.82,5.18,2.0,4.0,48.39,6.0,Amodiaquine dihydrochloride dihydrate|Amodiaquine hcl|Amodiaquine hydrochloride|Amodiaquine hydrochloride dihydrate|Amodiaquini hydrochloridum|Camoquin hydrochloride|NSC-755863
CHEMBL1364144,METHYLPREDNISOLONE ACETATE,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,416.51,2.37,2.0,6.0,100.90,3.0,Depo-medrol|Depo-medrone|Medrol acetate|Methylprednisolone 21-acetate|Methyl prednisolone acetate|Methylprednisolone acetate|Methylprednisolone acetate|Methylprednisolone acetate|Methylprednisolone acetate|Methylprednisolone acetate component of neo-medrol acetate|M-predrol|Neo-medrone|NSC-48985
CHEMBL1364551,MINAPRINE HYDROCHLORIDE,Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1.Cl.Cl,371.31,2.20,1.0,5.0,50.28,5.0,30038-CB|30038CB|Cantor|Minaprine dihydrochloride|Minaprine dihydrochloride|Minaprine hcl|Minaprine hydrochloride|Minaprine hydrochloride|Minaprine hydrochloride|NSC-305742
CHEMBL1367605,RITODRINE HYDROCHLORIDE,CC(NCCc1ccc(O)cc1)C(O)c1ccc(O)cc1.Cl,323.82,2.35,4.0,4.0,72.72,6.0,Luteonin|NSC-291565|Ritodrine hcl|Ritodrine hydrochloride|Ritodrine hydrochloride|Ritodrine hydrochloride|Ritodrine hydrochloride|Ritodrine hydrochloride|Ritodrine hydrochloride|Yutopar
