FEATURE_NAME,MEAN_ABS_SHAP,FEATURE_GROUP
D1_FP_884,0.0019935449,FP
D1_FP_479,0.0019913858,FP
D2_FP_820,0.0019736409,FP
D2_FP_609,0.001972433,FP
D1_FP_712,0.0019602748,FP
D1_FP_497,0.0019593511,FP
D2_FP_324,0.0019505416,FP
D1_FP_489,0.0019455983,FP
D1_FP_77,0.0019304686,FP
D2_FP_343,0.0019169908,FP
D2_FP_723,0.0019095303,FP
D2_FP_679,0.0019084854,FP
D1_FP_927,0.001905422,FP
D1_FP_67,0.0018997273,FP
D1_FP_301,0.0018958173,FP
D2_FP_780,0.0018931541,FP
D1_FP_897,0.0018896335,FP
D2_FP_283,0.0018852672,FP
D2_FP_698,0.0018735753,FP
D1_FP_492,0.0018660695,FP
D2_FP_191,0.0018513012,FP
D1_FP_412,0.0018507254,FP
D2_FP_334,0.0018396614,FP
MUT_cnaPANCAN24,0.0018246212,MUTATION
MUT_cnaPANCAN390,0.0018226271,MUTATION
D1_FP_52,0.0018226086,FP
D1_FP_212,0.0018206169,FP
D2_FP_153,0.0018183987,FP
D2_FP_345,0.0018140479,FP
D2_FP_14,0.0018139451,FP
D2_FP_714,0.0018048796,FP
D2_FP_433,0.0018043123,FP
GROWTH_Semi-Adherent,0.0018019087,CELL
D1_FP_43,0.0017941039,FP
D1_FP_583,0.001792239,FP
D1_FP_881,0.0017894293,FP
D2_FP_514,0.0017875511,FP
D1_FP_646,0.0017763979,FP
D1_FP_776,0.0017748557,FP
D1_FP_905,0.0017585616,FP
D1_FP_997,0.0017545723,FP
D2_FP_72,0.0017502292,FP
D2_FP_130,0.001738671,FP
D2_FP_477,0.0017379642,FP
D1_FP_674,0.0017355642,FP
D1_FP_10,0.0017314183,FP
D1_FP_104,0.0017303723,FP
D1_FP_765,0.0017282373,FP
D2_FP_794,0.0017245966,FP
D1_FP_960,0.001715696,FP
D1_FP_202,0.0017094595,FP
D1_FP_64,0.0017080043,FP
D1_FP_965,0.0016914399,FP
D1_FP_562,0.0016806414,FP
D1_FP_792,0.0016801904,FP
D1_FP_967,0.0016758329,FP
D1_FP_411,0.0016756658,FP
D2_FP_116,0.0016739055,FP
D1_FP_896,0.0016717054,FP
D2_FP_179,0.001671425,FP
D1_FP_53,0.0016578141,FP
D2_FP_221,0.0016507828,FP
MUT_cnaPANCAN22,0.0016344208,MUTATION
D2_FP_423,0.0016280169,FP
D1_FP_840,0.0016258461,FP
D1_FP_825,0.0016216936,FP
D1_FP_834,0.0016205425,FP
D1_FP_352,0.0016131636,FP
D2_FP_676,0.0016116041,FP
D2_FP_36,0.0016103762,FP
D2_FP_202,0.0015947712,FP
D2_FP_884,0.0015896712,FP
MUT_cnaPANCAN32,0.0015864822,MUTATION
D2_FP_753,0.0015810024,FP
D1_FP_406,0.0015800992,FP
D2_FP_898,0.001572839,FP
D1_FP_289,0.0015690697,FP
D2_FP_511,0.0015672892,FP
D2_FP_294,0.0015650946,FP
MUT_MLL2_mut,0.0015650262,MUTATION
D1_FP_845,0.0015630667,FP
D2_FP_646,0.001561461,FP
D1_FP_147,0.0015447447,FP
D2_FP_834,0.0015344518,FP
D1_FP_447,0.0015336492,FP
D2_FP_301,0.0015302385,FP
D1_FP_910,0.001515409,FP
D1_FP_946,0.0014991678,FP
MUT_cnaPANCAN388,0.0014987201,MUTATION
D1_FP_787,0.00149762,FP
D2_FP_620,0.0014883464,FP
D1_FP_885,0.0014732105,FP
D2_FP_8,0.0014699404,FP
D2_FP_114,0.0014657376,FP
D1_FP_107,0.0014612839,FP
D1_FP_329,0.0014509456,FP
D1_FP_835,0.0014451926,FP
D1_FP_428,0.0014372362,FP
TISSUE_myeloma,0.0014353873,TISSUE
D1_FP_709,0.001434345,FP
D1_FP_249,0.0014307552,FP
D1_FP_875,0.0014302729,FP
D1_FP_458,0.0014259864,FP
D2_FP_297,0.0014231068,FP
D1_FP_424,0.0014211752,FP
D1_FP_130,0.0014200264,FP
D1_FP_177,0.0014161783,FP
D2_FP_747,0.0014074219,FP
D2_FP_381,0.001405712,FP
D2_FP_252,0.0014048658,FP
D1_FP_795,0.0014038534,FP
MUT_cnaPANCAN176,0.0014036212,MUTATION
D1_FP_843,0.0013947707,FP
D1_FP_649,0.0013935232,FP
D2_FP_695,0.0013917701,FP
D2_FP_806,0.0013916059,FP
D2_FP_827,0.0013902008,FP
D1_FP_61,0.0013863791,FP
D1_FP_36,0.0013831693,FP
D1_FP_832,0.0013827801,FP
D2_FP_700,0.0013785316,FP
D2_FP_832,0.0013754962,FP
D2_FP_980,0.0013738582,FP
D2_FP_9,0.001366074,FP
D1_FP_230,0.0013592975,FP
D1_FP_589,0.0013430394,FP
D1_FP_643,0.0013421839,FP
MUT_cnaPANCAN342,0.0013386717,MUTATION
D1_FP_849,0.0013368408,FP
D2_FP_235,0.0013366144,FP
D2_FP_1,0.0013321878,FP
D2_FP_897,0.0013281066,FP
D2_FP_107,0.0013223933,FP
D1_FP_705,0.0013182724,FP
D2_FP_842,0.0013180178,FP
D2_FP_452,0.0013074275,FP
D2_FP_250,0.0013002933,FP
D2_FP_61,0.0012990289,FP
D2_FP_460,0.0012891358,FP
D1_FP_514,0.0012860977,FP
D2_FP_392,0.0012857208,FP
D1_FP_32,0.0012802192,FP
D1_FP_423,0.0012797149,FP
D2_FP_533,0.0012756612,FP
D2_FP_578,0.0012730439,FP
D1_FP_42,0.0012720315,FP
D1_FP_624,0.0012671397,FP
D1_FP_856,0.001264547,FP
D1_FP_138,0.0012642443,FP
D2_FP_112,0.001260117,FP
D1_FP_169,0.001251557,FP
D2_FP_329,0.0012331504,FP
D2_FP_410,0.0012263457,FP
D2_FP_356,0.0012247212,FP
D1_FP_288,0.0012218643,FP
D2_FP_675,0.0012131218,FP
D1_FP_4,0.0012077757,FP
D1_FP_119,0.0012005055,FP
D2_FP_375,0.0011963216,FP
D2_FP_151,0.001194178,FP
MUT_cnaPANCAN53,0.001192875,MUTATION
D1_FP_332,0.0011802402,FP
D2_FP_491,0.0011690577,FP
D2_FP_682,0.0011683169,FP
D2_FP_96,0.001168016,FP
D2_FP_798,0.0011670474,FP
D1_FP_116,0.0011668405,FP
D2_FP_285,0.0011599008,FP
D1_FP_880,0.0011547236,FP
D1_FP_801,0.0011542516,FP
D2_FP_768,0.001152302,FP
D2_FP_456,0.0011452559,FP
D1_FP_184,0.00114509,FP
D1_FP_898,0.0011408931,FP
D2_FP_298,0.0011333543,FP
D2_FP_341,0.0011330188,FP
D1_FP_527,0.0011287706,FP
D1_FP_629,0.0011146751,FP
D2_FP_494,0.0011009274,FP
D2_FP_950,0.0010970841,FP
D1_FP_888,0.0010942541,FP
D1_FP_437,0.0010816022,FP
D1_FP_9,0.0010729751,FP
D1_FP_984,0.0010714538,FP
D2_FP_349,0.0010687222,FP
D2_FP_429,0.0010681944,FP
D1_FP_319,0.0010665433,FP
D2_FP_973,0.0010634753,FP
