CHEMBL_ID,TARGET_CHEMBL_ID,MECHANISM
CHEMBL1201664,CHEMBL1981,AGONIST
CHEMBL2104391,CHEMBL1981,AGONIST
CHEMBL719,CHEMBL1982,INHIBITOR
CHEMBL3989715,CHEMBL1982,INHIBITOR
CHEMBL1200517,CHEMBL1983,AGONIST
CHEMBL2448612,CHEMBL1983,AGONIST
CHEMBL1201003,CHEMBL1983,AGONIST
CHEMBL1200601,CHEMBL1983,AGONIST
CHEMBL1185,CHEMBL1983,AGONIST
CHEMBL1200521,CHEMBL1983,AGONIST
CHEMBL2138684,CHEMBL1983,AGONIST
CHEMBL1201032,CHEMBL1983,AGONIST
CHEMBL1201150,CHEMBL1983,AGONIST
CHEMBL128,CHEMBL1983,AGONIST
